Id,LotShape,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,OverallQual,OverallCond,SalePrice
362,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,TA,Typ,NA,Unf,TA,TA,N,NA,NA,5,5,145000
363,Reg,Gtl,Gd,TA,NA,NA,NA,NA,NA,Ex,Gd,Typ,Ex,RFn,TA,TA,Y,NA,NA,7,5,198500
364,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Gd,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,6,8,118000
365,IR1,Gtl,TA,TA,Gd,TA,Mn,GLQ,Unf,TA,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,190000
366,Reg,Gtl,TA,Gd,TA,Fa,No,Rec,Unf,Gd,TA,Typ,NA,Unf,TA,Fa,Y,NA,NA,5,7,147000
367,IR1,Gtl,TA,TA,Gd,TA,No,BLQ,Unf,Gd,TA,Typ,Gd,RFn,TA,TA,Y,NA,NA,6,5,159000
368,IR1,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,Gd,TA,Typ,Gd,RFn,TA,TA,Y,NA,NA,6,5,165000
369,Reg,Gtl,TA,TA,TA,TA,No,LwQ,Unf,Gd,TA,Typ,Gd,Fin,TA,TA,Y,NA,NA,5,6,132000
370,IR1,Gtl,TA,Gd,TA,TA,No,ALQ,Rec,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,5,7,162000
371,IR1,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,TA,Typ,TA,RFn,TA,TA,Y,NA,NA,6,5,172400
372,Reg,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,TA,Min2,Gd,Fin,TA,TA,N,NA,NA,4,4,134432
373,Reg,Gtl,TA,TA,Gd,TA,No,ALQ,LwQ,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,6,5,125000
374,Reg,Gtl,TA,TA,TA,TA,No,BLQ,LwQ,TA,TA,Min2,NA,Unf,TA,TA,Y,NA,GdWo,5,6,123000
375,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,5,219500
376,IR1,Sev,Fa,Fa,Fa,Po,Gd,BLQ,Unf,Gd,Fa,Maj1,NA,NA,NA,NA,Y,NA,NA,1,1,61000
377,IR1,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,148000
378,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,340000
379,Reg,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Ex,Typ,Ex,Fin,TA,TA,Y,NA,NA,9,2,394432
380,IR1,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,179000
381,Reg,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,Gd,Typ,Gd,Unf,TA,TA,Y,NA,NA,5,6,127000
382,Reg,Gtl,Gd,TA,Gd,Gd,No,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,5,187750
383,IR1,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,213500
384,Reg,Gtl,TA,TA,Fa,Fa,No,Unf,Unf,TA,TA,Typ,NA,Unf,Fa,Fa,N,NA,NA,6,3,76000
385,IR2,Mod,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,Fa,Fin,TA,TA,Y,NA,NA,6,5,240000
386,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,8,5,192000
387,Reg,Gtl,TA,Fa,TA,TA,No,Unf,Unf,TA,TA,Typ,NA,NA,NA,NA,N,NA,NA,5,3,81000
388,Reg,Gtl,TA,TA,TA,TA,Av,ALQ,Unf,Ex,TA,Typ,Fa,Unf,TA,TA,Y,NA,GdWo,6,6,125000
389,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,191000
390,Reg,Gtl,Ex,TA,Ex,TA,Av,GLQ,Unf,Ex,Ex,Typ,Ex,Fin,TA,TA,Y,NA,NA,10,5,426000
391,Reg,Gtl,TA,TA,TA,Gd,No,Rec,BLQ,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,8,119000
392,IR1,Gtl,TA,TA,Ex,TA,No,ALQ,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,215000
393,IR1,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,TA,Typ,NA,RFn,TA,TA,Y,NA,MnPrv,5,7,106500
394,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,TA,NA,NA,NA,Y,NA,GdWo,4,5,100000
395,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,6,109000
396,Reg,Gtl,TA,TA,TA,TA,Av,BLQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,6,129000
397,Reg,Gtl,TA,TA,TA,TA,Av,Rec,Unf,TA,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,5,5,123000
398,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,TA,RFn,TA,TA,Y,NA,NA,5,5,169500
399,Reg,Gtl,TA,Fa,Fa,Po,No,Unf,Unf,Gd,TA,Maj2,NA,Unf,Po,Po,N,NA,NA,5,2,67000
400,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,7,5,241000
401,IR2,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,245500
402,IR1,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,5,164990
403,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Typ,NA,Unf,TA,TA,N,NA,GdPrv,5,8,108000
404,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Gd,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,8,5,258000
405,IR1,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Gd,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,168000
406,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,TA,Min1,TA,Unf,TA,TA,Y,NA,GdWo,4,4,150000
407,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Maj2,NA,Unf,TA,TA,Y,NA,NA,6,5,115000
408,Reg,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,7,177000
409,Reg,Gtl,Gd,TA,Ex,Gd,No,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,5,280000
410,Reg,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,339750
411,Reg,Gtl,TA,Fa,TA,Fa,No,Unf,Unf,TA,TA,Mod,NA,Unf,TA,TA,Y,NA,NA,5,3,60000
412,Reg,Gtl,TA,TA,TA,TA,Mn,Rec,Unf,TA,TA,Typ,NA,Fin,TA,TA,Y,NA,NA,5,5,145000
413,IR2,Gtl,Ex,TA,Ex,TA,Av,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,5,222000
414,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,Gd,Unf,TA,TA,Y,NA,NA,5,6,115000
415,IR2,Gtl,Gd,TA,Gd,TA,No,BLQ,GLQ,Ex,Gd,Typ,TA,Unf,TA,TA,Y,NA,NA,7,5,228000
416,IR1,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,7,5,181134
417,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,6,7,149500
418,IR1,Gtl,TA,TA,Gd,TA,No,BLQ,Unf,TA,TA,Typ,Gd,Unf,TA,TA,N,NA,NA,6,6,239000
419,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Fa,TA,Typ,NA,Unf,TA,TA,P,NA,NA,5,6,126000
420,Reg,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,TA,Typ,Fa,Unf,TA,TA,Y,NA,NA,5,6,142000
421,Reg,Gtl,TA,Gd,Gd,Gd,Gd,GLQ,Unf,Ex,TA,Typ,NA,Fin,TA,TA,Y,NA,NA,7,5,206300
422,IR1,Gtl,Gd,TA,Gd,TA,No,ALQ,Unf,Gd,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,6,7,215000
423,Reg,Mod,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Typ,NA,RFn,TA,TA,N,NA,NA,5,5,113000
424,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Gd,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,8,5,315000
425,Reg,Gtl,TA,TA,Gd,TA,No,LwQ,Unf,Gd,TA,Typ,Gd,RFn,TA,TA,Y,NA,NA,6,5,139000
426,Reg,Gtl,TA,Gd,TA,TA,No,Unf,Unf,Gd,TA,Typ,Gd,Unf,TA,TA,P,NA,NA,7,8,135000
427,Reg,Mod,Gd,TA,Gd,TA,Gd,GLQ,Unf,Gd,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,275000
428,IR1,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,4,6,109008
429,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,195400
430,IR1,Gtl,TA,TA,Gd,TA,Mn,GLQ,Unf,TA,Gd,Typ,TA,Unf,TA,TA,Y,NA,NA,6,5,175000
431,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,5,85400
432,IR1,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,NA,NA,NA,N,NA,MnPrv,6,7,79900
433,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Ex,TA,Min1,NA,Unf,TA,TA,Y,NA,NA,5,5,122500
434,IR1,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,181000
435,Reg,Gtl,TA,Gd,Gd,TA,Av,ALQ,Unf,Gd,TA,Typ,NA,NA,NA,NA,Y,NA,NA,4,7,81000
436,IR2,Gtl,Gd,TA,Gd,TA,Av,GLQ,ALQ,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,6,212000
437,Reg,Gtl,TA,TA,Fa,TA,No,Unf,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,8,116000
438,Reg,Gtl,Gd,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,7,119000
439,Reg,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,Gd,Typ,Gd,Unf,Gd,TA,P,NA,MnPrv,5,6,90350
440,Reg,Gtl,TA,TA,TA,Fa,Mn,Unf,Unf,Gd,Gd,Typ,NA,Unf,TA,TA,Y,NA,GdPrv,6,8,110000
441,Reg,Gtl,Ex,TA,Ex,TA,Gd,GLQ,ALQ,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,10,5,555000
442,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Fa,Typ,NA,NA,NA,NA,Y,NA,NA,4,4,118000
443,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,Gd,Unf,TA,TA,P,NA,NA,5,7,162900
444,Reg,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,5,172500
445,Reg,Gtl,Gd,Gd,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,Unf,TA,TA,Y,NA,NA,7,5,210000
446,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,TA,Typ,Gd,Unf,TA,TA,Y,NA,MnPrv,6,5,127500
447,IR1,Gtl,Gd,TA,TA,TA,No,ALQ,Rec,Ex,Gd,Mod,Gd,Fin,TA,TA,Y,NA,NA,6,6,190000
448,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Gd,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,199900
449,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,Gd,Unf,TA,TA,N,NA,NA,6,6,119500
450,Reg,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,3,7,120000
451,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Gd,Typ,NA,Unf,Fa,Fa,N,NA,NA,6,8,110000
452,IR1,Mod,TA,TA,Gd,TA,Gd,ALQ,Unf,TA,Gd,Typ,TA,Unf,TA,TA,Y,NA,NA,7,5,280000
453,IR1,Gtl,Gd,TA,Ex,TA,No,ALQ,Unf,Ex,TA,Typ,NA,Fin,TA,TA,Y,NA,NA,6,5,204000
454,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,8,5,210000
455,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,188000
456,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Fa,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,7,6,175500
457,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,TA,Typ,NA,Unf,Fa,Fa,Y,NA,NA,5,5,98000
458,IR1,Mod,TA,TA,Gd,TA,Gd,BLQ,Unf,Ex,Gd,Min1,Gd,Fin,TA,TA,Y,NA,NA,4,6,256000
459,Reg,Gtl,TA,Gd,TA,TA,No,Unf,Unf,Fa,Gd,Typ,Gd,Unf,TA,TA,Y,NA,MnPrv,8,7,161000
460,IR1,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,Gd,Typ,TA,Unf,TA,TA,Y,NA,NA,5,4,110000
461,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,TA,Typ,NA,Fin,TA,TA,Y,NA,NA,8,5,263435
462,Reg,Gtl,Gd,Gd,Gd,Gd,No,ALQ,BLQ,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,MnPrv,7,9,155000
463,IR1,Gtl,TA,TA,TA,TA,No,Rec,BLQ,Gd,TA,Typ,Po,Unf,TA,TA,Y,NA,GdWo,5,5,62383
464,IR1,Mod,TA,TA,TA,TA,No,LwQ,Unf,Fa,TA,Typ,Gd,Unf,TA,TA,Y,NA,NA,6,7,188700
465,Reg,Mod,TA,TA,Gd,TA,No,Rec,Unf,TA,TA,Typ,NA,NA,NA,NA,Y,NA,NA,5,5,124000
466,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,178740
467,Reg,Gtl,TA,Gd,TA,Gd,Gd,GLQ,Unf,TA,TA,Typ,Po,Unf,TA,TA,Y,NA,GdWo,7,5,167000
468,Reg,Gtl,TA,TA,TA,TA,No,LwQ,Unf,Ex,Gd,Typ,Gd,Unf,TA,TA,Y,NA,NA,5,7,146500
469,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,250000
470,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,187000
471,IR1,Gtl,Gd,TA,Gd,TA,Av,GLQ,BLQ,TA,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,8,5,212000
472,Reg,Gtl,TA,TA,Gd,TA,No,Unf,Unf,TA,TA,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,6,190000
473,Reg,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,Ex,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,148000
474,IR1,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Gd,Typ,Ex,RFn,TA,TA,Y,NA,NA,8,5,440000
475,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Ex,Typ,NA,RFn,TA,TA,Y,NA,NA,8,5,251000
476,Reg,Gtl,TA,TA,TA,TA,No,GLQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,6,132500
477,Reg,Mod,TA,TA,Gd,TA,Gd,GLQ,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,208900
478,Reg,Gtl,Ex,TA,Gd,TA,Av,Unf,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,380000
479,Reg,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,297000
480,Reg,Gtl,TA,TA,Fa,TA,No,Rec,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,4,7,89471
481,IR1,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,326000
482,IR1,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,374000
483,Reg,Gtl,Gd,TA,TA,TA,No,ALQ,Unf,Ex,Ex,Min2,Gd,Unf,Fa,Fa,Y,NA,NA,7,8,155000
484,Reg,Gtl,TA,TA,Ex,TA,No,GLQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,5,164000
485,IR1,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Gd,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,5,7,132500
486,Reg,Gtl,Gd,TA,TA,TA,No,ALQ,Unf,Gd,Gd,Typ,Gd,Unf,TA,TA,Y,NA,NA,5,7,147000
487,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,5,7,156000
488,IR1,Gtl,TA,TA,Gd,TA,Av,ALQ,Unf,Gd,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,5,6,175000
489,Reg,Gtl,TA,Fa,TA,Fa,No,BLQ,Unf,TA,TA,Mod,Gd,Unf,TA,Fa,N,NA,NA,5,4,160000
490,Reg,Gtl,TA,Gd,Gd,TA,Av,GLQ,Unf,TA,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,4,8,86000
491,Reg,Gtl,TA,TA,Gd,TA,Mn,Unf,Unf,TA,TA,Typ,Gd,Fin,TA,TA,Y,NA,NA,5,6,115000
492,Reg,Gtl,TA,TA,TA,TA,No,BLQ,Rec,TA,Fa,Typ,TA,Unf,TA,TA,Y,NA,MnPrv,6,7,133000
493,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Gd,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,172785
494,Reg,Gtl,TA,TA,TA,TA,No,BLQ,LwQ,TA,TA,Typ,Fa,Unf,TA,TA,Y,NA,NA,5,6,155000
495,Reg,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,8,91300
496,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,NA,NA,NA,NA,N,NA,GdWo,4,5,34900
497,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,430000
498,Reg,Gtl,TA,Gd,TA,TA,No,Rec,Unf,Ex,TA,Typ,NA,Unf,TA,TA,N,NA,GdPrv,7,6,184000
499,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,MnPrv,5,7,130000
500,IR1,Gtl,TA,TA,TA,TA,No,BLQ,LwQ,Fa,TA,Typ,NA,Fin,TA,TA,Y,NA,MnWw,5,7,120000
501,Reg,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,5,113000
502,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Gd,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,226700
503,Reg,Gtl,TA,TA,TA,TA,No,ALQ,GLQ,Ex,TA,Typ,NA,Unf,Fa,Fa,Y,NA,GdPrv,5,7,140000
504,IR1,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,TA,Fin,TA,TA,Y,NA,GdWo,7,8,289000
505,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Rec,TA,TA,Typ,Fa,Unf,TA,TA,Y,NA,NA,6,5,147000
506,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,N,NA,NA,5,5,124500
507,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,8,5,215000
508,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,6,5,208300
509,Reg,Gtl,TA,Ex,TA,TA,No,Rec,Unf,Ex,Gd,Typ,Gd,Unf,TA,TA,N,NA,NA,7,9,161000
510,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Ex,TA,Typ,NA,RFn,TA,TA,Y,NA,MnPrv,5,6,124500
511,Reg,Gtl,Gd,TA,TA,TA,No,BLQ,Rec,Ex,TA,Min1,TA,Unf,TA,TA,Y,NA,NA,5,7,164900
512,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,5,202665
513,Reg,Gtl,TA,TA,TA,TA,No,BLQ,LwQ,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,129900
514,Reg,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,5,134000
515,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,TA,Typ,NA,Unf,Po,Po,Y,NA,MnPrv,5,5,96500
516,Reg,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,10,5,402861
517,IR1,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,TA,RFn,TA,TA,Y,NA,GdPrv,6,6,158000
518,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,5,265000
519,IR1,Gtl,TA,TA,Gd,TA,Mn,GLQ,Unf,Ex,TA,Typ,NA,RFn,TA,TA,Y,NA,MnPrv,6,5,211000
520,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,Unf,TA,TA,Y,NA,MnPrv,7,9,234000
521,Reg,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,TA,Typ,NA,NA,NA,NA,N,NA,NA,4,7,106250
522,IR1,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,TA,Typ,Gd,Unf,TA,TA,Y,NA,NA,6,6,150000
523,Reg,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Ex,TA,Typ,Gd,Unf,TA,TA,Y,NA,NA,6,7,159000
524,IR1,Gtl,Ex,TA,Ex,TA,Gd,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,10,5,184750
525,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,315750
526,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,TA,Unf,TA,TA,Y,NA,NA,7,5,176000
527,Reg,Gtl,TA,TA,Gd,TA,No,Rec,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,7,132000
528,IR1,Gtl,Ex,TA,Ex,TA,Av,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,446261
529,IR1,Gtl,TA,TA,TA,TA,Mn,ALQ,Unf,Ex,TA,Typ,NA,NA,NA,NA,N,NA,NA,4,7,86000
530,IR1,Gtl,Gd,TA,TA,TA,No,Rec,Unf,TA,TA,Maj1,TA,RFn,TA,TA,Y,NA,NA,6,3,200624
531,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,Fa,RFn,TA,TA,Y,NA,NA,6,5,175000
532,IR1,Gtl,TA,TA,Fa,Fa,Mn,Unf,Unf,Ex,TA,Typ,NA,Fin,TA,Fa,Y,NA,NA,6,8,128000
533,Reg,Gtl,TA,TA,NA,NA,NA,NA,NA,Ex,TA,Mod,Po,Unf,TA,TA,Y,NA,NA,5,7,107500
534,Reg,Mod,Fa,Fa,NA,NA,NA,NA,NA,Fa,Fa,Typ,NA,NA,NA,NA,N,NA,NA,1,3,39300
535,IR1,Gtl,Gd,TA,Ex,Gd,Av,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,178000
536,Reg,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,TA,TA,Typ,NA,NA,NA,NA,N,NA,NA,5,7,107500
537,IR1,Gtl,TA,TA,Gd,TA,Av,Unf,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,7,5,188000
538,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,MnWw,4,5,111250
539,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,Fa,Unf,TA,TA,Y,NA,NA,5,5,158000
540,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,MnPrv,8,5,272000
541,Reg,Gtl,Ex,TA,Ex,TA,Av,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,315000
542,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,8,5,248000
543,Reg,Gtl,Gd,TA,Ex,TA,No,LwQ,GLQ,Ex,Gd,Maj1,TA,Fin,TA,TA,Y,NA,NA,7,5,213250
