MSZoning,Street,Alley,LandContour,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,GarageType,SaleType,SaleCondition,MSSubClass,Electrical,MiscFeature
RL,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,CBlock,GasA,Y,Detchd,COD,Abnorml,90,SBrkr,NA
RM,Pave,Grvl,Lvl,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Detchd,WD,Normal,30,FuseA,NA
RL,Pave,NA,Lvl,AllPub,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,Attchd,WD,Normal,120,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,Timber,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,80,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,Sawyer,Feedr,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Attchd,WD,Normal,20,SBrkr,Shed
RL,Pave,NA,Lvl,AllPub,Corner,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,PConc,GasA,Y,Attchd,WD,Family,20,SBrkr,NA
RM,Pave,NA,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,2.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasW,N,Detchd,WD,Normal,75,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,Stucco,Stone,None,CBlock,GasA,N,Detchd,WD,Normal,90,FuseF,NA
RL,Pave,NA,HLS,AllPub,CulDSac,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,NA,WD,Alloca,90,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RM,Pave,Grvl,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,None,BrkTil,GasA,Y,Detchd,WD,Abnorml,70,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Sawyer,Feedr,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Detchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,SawyerW,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Attchd,WD,Normal,80,SBrkr,NA
RL,Pave,NA,HLS,AllPub,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,Attchd,WD,Normal,120,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,CBlock,GasA,Y,BuiltIn,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,BuiltIn,WD,Normal,60,SBrkr,NA
RM,Pave,Pave,Lvl,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,Mansard,CompShg,Stucco,Stucco,None,Stone,GasW,N,Detchd,WD,Normal,70,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NoRidge,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,Slab,Wall,N,Detchd,WD,Normal,50,FuseF,NA
RM,Pave,Grvl,Lvl,AllPub,Corner,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,NA,WD,Normal,50,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Gilbert,RRAn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,Detchd,WD,Normal,20,SBrkr,NA
FV,Pave,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Detchd,WD,Normal,160,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,CulDSac,Sawyer,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,HdBoard,BrkCmn,CBlock,GasA,Y,Attchd,WD,Abnorml,60,SBrkr,NA
FV,Pave,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Detchd,WD,Normal,160,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Detchd,WD,Normal,20,SBrkr,Shed
RM,Pave,NA,Lvl,AllPub,FR2,BrkSide,Feedr,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,Detchd,WD,Normal,30,SBrkr,NA
FV,Pave,NA,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,Con,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,Hip,CompShg,BrkFace,BrkFace,None,PConc,GasA,Y,Attchd,WD,Normal,120,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,New,Partial,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,60,SBrkr,Shed
RL,Pave,NA,Lvl,AllPub,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,Attchd,WD,Normal,50,SBrkr,Shed
RL,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,HLS,AllPub,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,Hip,CompShg,CemntBd,Wd Shng,BrkFace,PConc,GasA,Y,BuiltIn,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,CulDSac,Sawyer,Norm,Norm,1Fam,SFoyer,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Detchd,WD,Normal,85,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Detchd,COD,Normal,20,FuseF,NA
RL,Pave,NA,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,SLvl,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,Detchd,WD,Abnorml,80,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Feedr,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,COD,Normal,20,FuseA,NA
RL,Pave,NA,Lvl,AllPub,Corner,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,New,Partial,20,SBrkr,NA
RM,Pave,NA,Lvl,AllPub,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,120,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,New,Partial,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,CBlock,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RH,Pave,NA,Lvl,AllPub,Inside,SawyerW,Feedr,Norm,Duplex,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,Slab,GasA,Y,Detchd,WD,Normal,90,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Mitchel,Norm,Norm,Duplex,SFoyer,Gable,CompShg,Plywood,ImStucc,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,90,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,Mitchel,Norm,Norm,1Fam,SFoyer,Gable,CompShg,Plywood,Plywood,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,85,SBrkr,NA
RM,Pave,Grvl,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,2.5Unf,Gable,CompShg,Wd Sdng,Wd Shng,None,CBlock,GasA,Y,NA,WD,Normal,75,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NWAmes,Feedr,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RM,Pave,NA,Lvl,AllPub,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Detchd,WD,Normal,50,SBrkr,Shed
RL,Pave,NA,Lvl,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,BuiltIn,WD,Normal,60,SBrkr,NA
RM,Pave,NA,Lvl,AllPub,Corner,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Detchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Low,AllPub,Inside,ClearCr,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,120,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,Mitchel,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,Attchd,WD,Normal,80,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,CmentBd,Stone,PConc,GasA,Y,Attchd,New,Partial,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,Shed
RL,Pave,NA,Lvl,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,Attchd,WD,Abnorml,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,BuiltIn,New,Partial,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,SWISU,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,BrkTil,GasA,Y,Detchd,WD,Normal,50,SBrkr,NA
RL,Pave,NA,HLS,AllPub,Inside,ClearCr,Feedr,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,Shed
RM,Pave,NA,Lvl,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Detchd,WD,Normal,30,FuseA,NA
RL,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,WdShing,Wd Shng,None,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,BuiltIn,New,Partial,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD,Family,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,FR2,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,New,Partial,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,80,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,BrkSide,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD,Normal,70,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,80,SBrkr,NA
RM,Pave,NA,Lvl,AllPub,Corner,OldTown,Norm,Norm,1Fam,2.5Unf,Hip,CompShg,AsbShng,AsbShng,None,PConc,GasA,N,Detchd,WD,Normal,75,FuseA,NA
RL,Pave,NA,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RM,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,ConLD,Normal,120,SBrkr,NA
C (all),Grvl,NA,Bnk,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,N,Basment,WD,Alloca,20,FuseA,Shed
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,Attchd,COD,Normal,20,SBrkr,Shed
RL,Pave,Grvl,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Stucco,Stucco,None,BrkTil,GasW,Y,Detchd,WD,Normal,50,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,ClearCr,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,80,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,New,Partial,120,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RM,Pave,Pave,Bnk,AllPub,Inside,OldTown,Norm,Norm,2fmCon,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,N,Detchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,BuiltIn,WD,Family,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,BrkTil,GasA,Y,Detchd,WD,Normal,50,SBrkr,NA
FV,Pave,NA,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,New,Partial,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NridgHt,PosN,PosN,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,BrkFace,PConc,GasA,Y,Attchd,New,Partial,20,SBrkr,NA
RM,Pave,NA,Lvl,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,NA,WD,Normal,45,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,SawyerW,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Low,AllPub,CulDSac,ClearCr,Norm,Norm,1Fam,2Story,Flat,Tar&Grv,Plywood,Plywood,None,PConc,GasA,Y,Attchd,WD,Abnorml,60,SBrkr,NA
FV,Pave,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Detchd,WD,Normal,160,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,20,FuseA,NA
FV,Pave,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Detchd,WD,Normal,160,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,HdBoard,None,CBlock,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RM,Pave,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,BrkTil,GasA,Y,Detchd,COD,Normal,30,SBrkr,NA
RM,Pave,NA,Lvl,AllPub,Inside,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Detchd,WD,Normal,160,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Detchd,WD,Normal,50,SBrkr,NA
RH,Pave,NA,Lvl,AllPub,Inside,SWISU,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,N,Detchd,WD,Normal,70,SBrkr,NA
RM,Pave,Grvl,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Detchd,WD,Normal,70,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,80,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,NAmes,Artery,Norm,Duplex,1Story,Gable,CompShg,BrkFace,BrkFace,None,CBlock,GasA,N,NA,WD,Normal,90,SBrkr,NA
RM,Pave,Grvl,Lvl,AllPub,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Detchd,WD,Normal,50,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,CulDSac,Sawyer,RRAe,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Basment,WD,Normal,85,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,60,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,None,CBlock,GasA,Y,Attchd,WD,Normal,20,SBrkr,NA
RL,Pave,NA,Bnk,AllPub,Inside,ClearCr,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Detchd,WD,Normal,50,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,FR2,Veenker,Feedr,Norm,1Fam,SLvl,Hip,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,80,SBrkr,NA
RM,Pave,NA,Lvl,AllPub,Inside,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,120,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD,Normal,120,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Crawfor,Norm,Norm,1Fam,2.5Unf,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Detchd,WD,Normal,75,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD,Normal,80,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Plywood,None,CBlock,GasA,Y,Attchd,WD,Abnorml,20,SBrkr,NA
RL,Pave,NA,Lvl,AllPub,Corner,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Detchd,WD,Normal,20,SBrkr,NA
